"COU","Country","SOURCE","Source","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LUX","Luxembourg","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","1995","1995",,,"0","Units",,,0,,
"LUX","Luxembourg","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","2010","2010",,,"0","Units",,,0,,
"LUX","Luxembourg","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","2011","2011",,,"0","Units",,,0.2,,
"LUX","Luxembourg","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","2012","2012",,,"0","Units",,,0.006,,
"LUX","Luxembourg","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","2013","2013",,,"0","Units",,,0.69,,
"LUX","Luxembourg","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","2014","2014",,,"0","Units",,,0.367,,
"LUX","Luxembourg","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","2015","2015",,,"0","Units",,,0.377,,
"LUX","Luxembourg","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","2016","2016",,,"0","Units",,,0,,
"SVN","Slovenia","GROUND","Fresh ground water","AQUA","Aquaculture","2012","2012","M3","Cubic metres","6","Millions",,,0,,
"SWE","Sweden","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","1990","1990",,,"0","Units",,,0,,
"SWE","Sweden","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","1995","1995",,,"0","Units",,,1,,
"SWE","Sweden","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2000","2000",,,"0","Units",,,1,,
"SWE","Sweden","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2005","2005",,,"0","Units",,,0,,
"SWE","Sweden","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2010","2010",,,"0","Units",,,0,,
"SWE","Sweden","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2015","2015",,,"0","Units",,,0,,
"ISL","Iceland","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","1980","1980",,,"0","Units",,,8,,
"ISL","Iceland","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","1995","1995",,,"0","Units",,,8,,
"ISL","Iceland","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2000","2000",,,"0","Units",,,13,,
"ISL","Iceland","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2005","2005",,,"0","Units",,,13,,
"ISL","Iceland","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2010","2010",,,"0","Units",,,0,"B","Break"
"ISL","Iceland","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2011","2011",,,"0","Units",,,0,,
"ISL","Iceland","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2012","2012",,,"0","Units",,,0,,
"ISL","Iceland","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2013","2013",,,"0","Units",,,0,,
"ISL","Iceland","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2014","2014",,,"0","Units",,,0,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","1990","1990",,,"0","Units",,,0,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","1995","1995",,,"0","Units",,,0,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2000","2000",,,"0","Units",,,0,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2005","2005",,,"0","Units",,,4.4,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2010","2010",,,"0","Units",,,1.048,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2011","2011",,,"0","Units",,,0.676,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2012","2012",,,"0","Units",,,0.373,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2013","2013",,,"0","Units",,,0.451,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2014","2014",,,"0","Units",,,1.209,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2015","2015",,,"0","Units",,,1.08,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2016","2016",,,"0","Units",,,0.79,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2017","2017",,,"0","Units",,,1.183,,
"DNK","Denmark","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2018","2018",,,"0","Units",,,2.186,,
"USA","United States","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1970","1970",,,"0","Units",,,166000,,
"USA","United States","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1980","1980",,,"0","Units",,,207000,,
"USA","United States","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1990","1990",,,"0","Units",,,180000,,
"USA","United States","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1995","1995",,,"0","Units",,,180976.5,,
"USA","United States","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2000","2000",,,"0","Units",,,186502.5,,
"USA","United States","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2005","2005",,,"0","Units",,,196193.625,,
"USA","United States","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2010","2010",,,"0","Units",,,160352,,
"USA","United States","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2015","2015",,,"0","Units",,,130749,,
"LVA","Latvia","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2000","2000","M3","Cubic metres","6","Millions",,,12.684,,
"LVA","Latvia","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2005","2005","M3","Cubic metres","6","Millions",,,13.738,,
"LVA","Latvia","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2010","2010","M3","Cubic metres","6","Millions",,,14.362,,
"LVA","Latvia","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2011","2011","M3","Cubic metres","6","Millions",,,7.209,,
"LVA","Latvia","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2012","2012","M3","Cubic metres","6","Millions",,,7.237,,
"LVA","Latvia","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2013","2013","M3","Cubic metres","6","Millions",,,8.448,,
"LVA","Latvia","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2014","2014","M3","Cubic metres","6","Millions",,,8.072,,
"LVA","Latvia","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2015","2015","M3","Cubic metres","6","Millions",,,7.499,,
"LVA","Latvia","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2016","2016","M3","Cubic metres","6","Millions",,,7.724,,
"LVA","Latvia","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2017","2017","M3","Cubic metres","6","Millions",,,7.686,,
"LVA","Latvia","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2018","2018","M3","Cubic metres","6","Millions",,,30.019,,
"DEU","Germany","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","2010","2010",,,"0","Units",,,329.53422,"E","Estimated value"
"DEU","Germany","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","2013","2013",,,"0","Units",,,321.49,"E","Estimated value"
"DEU","Germany","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","2016","2016",,,"0","Units",,,308.59,"E","Estimated value"
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","1980","1980",,,"0","Units",,,64,"E","Estimated value"
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","1995","1995",,,"0","Units",,,172,,
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2000","2000",,,"0","Units",,,172.68015,,
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2005","2005",,,"0","Units",,,4219.95068,,
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2010","2010",,,"0","Units",,,4078.02905,,
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2011","2011",,,"0","Units",,,4078.02905,,
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2012","2012",,,"0","Units",,,4077.4502,,
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2013","2013",,,"0","Units",,,4529.11377,,
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2014","2014",,,"0","Units",,,4149.5415,,
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2015","2015",,,"0","Units",,,4149.3208,,
